
2024-04- 29 13:23:47: ; Temperatura interna central: 28.50C
2024-04- 29 13:23:47: ; Temperatura interna lateral: 28.90C
2024-04- 29 13:23:47: ; Temperatura do chassi: 31.50C
2024-04- 29 13:23:47: ; Temperatura do LIDAR: 32.00C
2024-04- 29 13:24:47: ; Temperatura interna central: 29.00C
2024-04- 29 13:24:47: ; Temperatura interna lateral: 29.10C
2024-04- 29 13:24:47: ; Temperatura do chassi: 31.50C
2024-04- 29 13:24:47: ; Temperatura do LIDAR: 31.50C
2024-04- 29 13:25:47: ; Temperatura interna central: 29.70C
2024-04- 29 13:25:47: ; Temperatura interna lateral: 29.40C
2024-04- 29 13:25:47: ; Temperatura do chassi: 32.50C
2024-04- 29 13:25:47: ; Temperatura do LIDAR: 32.25C
2024-04- 29 13:26:47: ; Temperatura interna central: 30.40C
2024-04- 29 13:26:47: ; Temperatura interna lateral: 29.70C
2024-04- 29 13:26:47: ; Temperatura do chassi: 33.50C
2024-04- 29 13:26:47: ; Temperatura do LIDAR: 32.75C
2024-04- 29 13:27:47: ; Temperatura interna central: 31.30C
2024-04- 29 13:27:47: ; Temperatura interna lateral: 29.90C
2024-04- 29 13:27:47: ; Temperatura do chassi: 33.75C
2024-04- 29 13:27:47: ; Temperatura do LIDAR: 33.75C
2024-04- 29 13:28:47: ; Temperatura interna central: 32.00C
2024-04- 29 13:28:47: ; Temperatura interna lateral: 30.00C
2024-04- 29 13:28:47: ; Temperatura do chassi: 34.00C
2024-04- 29 13:28:47: ; Temperatura do LIDAR: 35.75C
2024-04- 29 13:29:47: ; Temperatura interna central: 32.80C
2024-04- 29 13:29:47: ; Temperatura interna lateral: 30.10C
2024-04- 29 13:29:47: ; Temperatura do chassi: 34.50C
2024-04- 29 13:29:47: ; Temperatura do LIDAR: 36.75C
2024-04- 29 13:30:47: ; Temperatura interna central: 33.60C
2024-04- 29 13:30:47: ; Temperatura interna lateral: 30.30C
2024-04- 29 13:30:47: ; Temperatura do chassi: 34.75C
2024-04- 29 13:30:47: ; Temperatura do LIDAR: 37.25C
2024-04- 29 13:31:47: ; Temperatura interna central: 34.40C
2024-04- 29 13:31:47: ; Temperatura interna lateral: 30.50C
2024-04- 29 13:31:47: ; Temperatura do chassi: 35.25C
2024-04- 29 13:31:47: ; Temperatura do LIDAR: 39.50C
2024-04- 29 13:32:47: ; Temperatura interna central: 35.00C
2024-04- 29 13:32:47: ; Temperatura interna lateral: 30.70C
2024-04- 29 13:32:47: ; Temperatura do chassi: 35.50C
2024-04- 29 13:32:47: ; Temperatura do LIDAR: 40.00C
2024-04- 29 13:33:47: ; Temperatura interna central: 35.60C
2024-04- 29 13:33:47: ; Temperatura interna lateral: 30.80C
2024-04- 29 13:33:47: ; Temperatura do chassi: 35.50C
2024-04- 29 13:33:47: ; Temperatura do LIDAR: 41.50C
2024-04- 29 13:34:47: ; Temperatura interna central: 36.10C
2024-04- 29 13:34:47: ; Temperatura interna lateral: 30.80C
2024-04- 29 13:34:47: ; Temperatura do chassi: 35.75C
2024-04- 29 13:34:47: ; Temperatura do LIDAR: 40.75C
2024-04- 29 13:35:47: ; Temperatura interna central: 36.70C
2024-04- 29 13:35:47: ; Temperatura interna lateral: 31.10C
2024-04- 29 13:35:47: ; Temperatura do chassi: 35.50C
2024-04- 29 13:35:47: ; Temperatura do LIDAR: 41.50C
2024-04- 29 13:36:47: ; Temperatura interna central: 37.00C
2024-04- 29 13:36:47: ; Temperatura interna lateral: 31.10C
2024-04- 29 13:36:47: ; Temperatura do chassi: 36.00C
2024-04- 29 13:36:47: ; Temperatura do LIDAR: 42.75C
2024-04- 29 13:37:47: ; Temperatura interna central: 37.30C
2024-04- 29 13:37:47: ; Temperatura interna lateral: 31.00C
2024-04- 29 13:37:47: ; Temperatura do chassi: 35.75C
2024-04- 29 13:37:47: ; Temperatura do LIDAR: 43.75C
2024-04- 29 13:38:47: ; Temperatura interna central: 37.70C
