2024-04- 25 10:23:54: ; Temperatura interna central: 31.20C
2024-04- 25 10:23:54: ; Temperatura interna lateral: 29.80C
2024-04- 25 10:23:54: ; Temperatura do chassi: 30.50C
2024-04- 25 10:23:54: ; Temperatura do Sensor IR: 29.00C
2024-04- 25 10:25:43: ; Temperatura interna central: 31.50C
2024-04- 25 10:25:43: ; Temperatura interna lateral: 30.50C
2024-04- 25 10:25:43: ; Temperatura do chassi: 31.25C
2024-04- 25 10:25:43: ; Temperatura do Sensor IR: 29.75C
2024-04- 25 10:26:43: ; Temperatura interna central: 31.90C
2024-04- 25 10:26:43: ; Temperatura interna lateral: 30.80C
2024-04- 25 10:26:43: ; Temperatura do chassi: 31.50C
2024-04- 25 10:26:43: ; Temperatura do Sensor IR: 26.25C
2024-04- 25 10:27:43: ; Temperatura interna central: 32.40C
2024-04- 25 10:27:43: ; Temperatura interna lateral: 32.30C
2024-04- 25 10:27:43: ; Temperatura do chassi: 32.00C
2024-04- 25 10:27:43: ; Temperatura do Sensor IR: 30.00C
2024-04- 25 10:28:44: ; Temperatura interna central: 32.90C
2024-04- 25 10:28:44: ; Temperatura interna lateral: 33.80C
2024-04- 25 10:28:44: ; Temperatura do chassi: 32.75C
2024-04- 25 10:28:44: ; Temperatura do Sensor IR: 31.00C
2024-04- 25 10:29:44: ; Temperatura interna central: 33.50C
2024-04- 25 10:29:44: ; Temperatura interna lateral: 35.00C
2024-04- 25 10:29:44: ; Temperatura do chassi: 32.50C
2024-04- 25 10:29:44: ; Temperatura do Sensor IR: 31.25C
2024-04- 25 10:30:44: ; Temperatura interna central: 34.10C
2024-04- 25 10:30:44: ; Temperatura interna lateral: 36.40C
2024-04- 25 10:30:44: ; Temperatura do chassi: 33.00C
2024-04- 25 10:30:44: ; Temperatura do Sensor IR: 31.00C
2024-04- 25 10:31:44: ; Temperatura interna central: 34.70C
2024-04- 25 10:31:44: ; Temperatura interna lateral: 38.00C
2024-04- 25 10:31:44: ; Temperatura do chassi: 34.00C
2024-04- 25 10:31:44: ; Temperatura do Sensor IR: 31.75C
2024-04- 25 10:32:44: ; Temperatura interna central: 35.30C
2024-04- 25 10:32:44: ; Temperatura interna lateral: 39.50C
2024-04- 25 10:32:44: ; Temperatura do chassi: 34.25C
2024-04- 25 10:32:44: ; Temperatura do Sensor IR: 25.75C
2024-04- 25 10:33:44: ; Temperatura interna central: 36.00C
2024-04- 25 10:33:44: ; Temperatura interna lateral: 40.50C
2024-04- 25 10:33:44: ; Temperatura do chassi: 34.75C
2024-04- 25 10:33:44: ; Temperatura do Sensor IR: 33.00C
2024-04- 25 10:34:44: ; Temperatura interna central: 36.50C
2024-04- 25 10:34:44: ; Temperatura interna lateral: 40.90C
2024-04- 25 10:34:44: ; Temperatura do chassi: 35.00C
