2024-04- 29 13:23:41: ; Temperatura interna central: 27.50C
2024-04- 29 13:23:41: ; Temperatura do LIDAR: 29.50C
2024-04- 29 13:24:41: ; Temperatura interna central: 27.80C
2024-04- 29 13:24:41: ; Temperatura do LIDAR: 29.25C
2024-04- 29 13:25:41: ; Temperatura interna central: 28.30C
2024-04- 29 13:25:41: ; Temperatura do LIDAR: 30.75C
2024-04- 29 13:26:41: ; Temperatura interna central: 29.10C
2024-04- 29 13:26:41: ; Temperatura do LIDAR: 31.50C
2024-04- 29 13:27:41: ; Temperatura interna central: 30.00C
2024-04- 29 13:27:41: ; Temperatura do LIDAR: 32.25C
2024-04- 29 13:28:41: ; Temperatura interna central: 30.90C
2024-04- 29 13:28:41: ; Temperatura do LIDAR: 33.75C
2024-04- 29 13:29:41: ; Temperatura interna central: 32.00C
2024-04- 29 13:29:41: ; Temperatura do LIDAR: 34.25C
2024-04- 29 13:30:41: ; Temperatura interna central: 33.00C
2024-04- 29 13:30:41: ; Temperatura do LIDAR: 35.50C
2024-04- 29 13:31:41: ; Temperatura interna central: 34.00C
2024-04- 29 13:31:41: ; Temperatura do LIDAR: 36.00C
2024-04- 29 13:32:41: ; Temperatura interna central: 35.00C
2024-04- 29 13:32:41: ; Temperatura do LIDAR: 37.25C
2024-04- 29 13:33:41: ; Temperatura interna central: 35.80C
2024-04- 29 13:33:41: ; Temperatura do LIDAR: 38.00C
2024-04- 29 13:34:41: ; Temperatura interna central: 36.60C
2024-04- 29 13:34:41: ; Temperatura do LIDAR: 38.75C
2024-04- 29 13:35:41: ; Temperatura interna central: 37.20C
2024-04- 29 13:35:41: ; Temperatura do LIDAR: 39.00C
2024-04- 29 13:36:41: ; Temperatura interna central: 37.80C
2024-04- 29 13:36:41: ; Temperatura do LIDAR: 39.75C
2024-04- 29 13:37:41: ; Temperatura interna central: 38.30C
2024-04- 29 13:37:41: ; Temperatura do LIDAR: 40.00C
2024-04- 29 13:38:41: ; Temperatura interna central: 38.90C
2024-04- 29 13:38:41: ; Temperatura do LIDAR: 41.25C
2024-04- 29 13:39:41: ; Temperatura interna central: 39.40C
2024-04- 29 13:39:41: ; Temperatura do LIDAR: 41.50C
2024-04- 29 13:40:41: ; Temperatura interna central: 39.80C
2024-04- 29 13:40:41: ; Temperatura do LIDAR: 42.00C
2024-04- 29 13:41:41: ; Temperatura interna central: 40.30C
2024-04- 29 13:41:41: ; Temperatura do LIDAR: 42.75C
2024-04- 29 13:42:41: ; Temperatura interna central: 40.60C
2024-04- 29 13:42:41: ; Temperatura do LIDAR: 43.00C
2024-04- 29 13:43:41: ; Temperatura interna central: 41.00C
2024-04- 29 13:43:41: ; Temperatura do LIDAR: 43.50C
2024-04- 29 13:44:41: ; Temperatura interna central: 41.30C
2024-04- 29 13:44:41: ; Temperatura do LIDAR: 44.00C
2024-04- 29 13:45:41: ; Temperatura interna central: 41.60C
2024-04- 29 13:45:41: ; Temperatura do LIDAR: 44.25C
2024-04- 29 13:46:41: ; Temperatura interna central: 41.80C
2024-04- 29 13:46:41: ; Temperatura do LIDAR: 44.50C
2024-04- 29 13:47:41: ; Temperatura interna central: 42.00C
2024-04- 29 13:47:41: ; Temperatura do LIDAR: 44.50C
2024-04- 29 13:48:41: ; Temperatura interna central: 42.10C
2024-04- 29 13:48:41: ; Temperatura do LIDAR: 44.75C
2024-04- 29 13:49:41: ; Temperatura interna central: 42.20C
2024-04- 29 13:49:41: ; Temperatura do LIDAR: 45.25C
2024-04- 29 13:50:41: ; Temperatura interna central: 42.50C
2024-04- 29 13:50:41: ; Temperatura do LIDAR: 45.75C
2024-04- 29 13:51:41: ; Temperatura interna central: 42.50C
2024-04- 29 13:51:41: ; Temperatura do LIDAR: 45.75C
2024-04- 29 13:52:41: ; Temperatura interna central: 42.60C
2024-04- 29 13:52:41: ; Temperatura do LIDAR: 45.75C
2024-04- 29 13:53:41: ; Temperatura interna central: 42.80C
2024-04- 29 13:53:41: ; Temperatura do LIDAR: 46.25C
2024-04- 29 13:54:41: ; Temperatura interna central: 42.90C
2024-04- 29 13:54:41: ; Temperatura do LIDAR: 47.25C
2024-04- 29 13:55:41: ; Temperatura interna central: 43.10C
2024-04- 29 13:55:41: ; Temperatura do LIDAR: 47.00C
2024-04- 29 13:56:41: ; Temperatura interna central: 43.30C
2024-04- 29 13:56:41: ; Temperatura do LIDAR: 47.50C
2024-04- 29 13:57:41: ; Temperatura interna central: 43.50C
2024-04- 29 13:57:41: ; Temperatura do LIDAR: 47.00C
2024-04- 29 13:58:41: ; Temperatura interna central: 43.70C
2024-04- 29 13:58:41: ; Temperatura do LIDAR: 48.00C
2024-04- 29 13:59:41: ; Temperatura interna central: 44.00C
2024-04- 29 13:59:41: ; Temperatura do LIDAR: 48.25C
2024-04- 29 14:00:41: ; Temperatura interna central: 44.10C
2024-04- 29 14:00:41: ; Temperatura do LIDAR: 48.50C
2024-04- 29 14:01:41: ; Temperatura interna central: 44.30C
2024-04- 29 14:01:41: ; Temperatura do LIDAR: 48.75C
2024-04- 29 14:02:41: ; Temperatura interna central: 44.50C
2024-04- 29 14:02:41: ; Temperatura do LIDAR: 48.75C
2024-04- 29 14:03:41: ; Temperatura interna central: 44.80C
2024-04- 29 14:03:41: ; Temperatura do LIDAR: 49.00C
2024-04- 29 14:04:41: ; Temperatura interna central: 45.10C
2024-04- 29 14:04:41: ; Temperatura do LIDAR: 49.50C
2024-04- 29 14:05:41: ; Temperatura interna central: 45.20C
2024-04- 29 14:05:41: ; Temperatura do LIDAR: 49.00C
2024-04- 29 14:06:41: ; Temperatura interna central: 45.40C
2024-04- 29 14:06:41: ; Temperatura do LIDAR: 49.50C
2024-04- 29 14:07:41: ; Temperatura interna central: 45.50C
2024-04- 29 14:07:41: ; Temperatura do LIDAR: 49.50C
2024-04- 29 14:08:41: ; Temperatura interna central: 45.20C
2024-04- 29 14:08:41: ; Temperatura do LIDAR: 49.50C
2024-04- 29 14:09:41: ; Temperatura interna central: 45.20C
2024-04- 29 14:09:41: ; Temperatura do LIDAR: 49.50C
2024-04- 29 14:10:41: ; Temperatura interna central: 45.30C
