2024-04- 25 09:02:48: ; Temperatura interna central: 32.20C
2024-04- 25 09:02:48: ; Temperatura do LIDAR: 32.00C
2024-04- 25 09:48:51: ; Temperatura interna central: 34.40C
2024-04- 25 09:48:51: ; Temperatura do LIDAR: 34.50C
2024-04- 25 09:49:51: ; Temperatura interna central: 34.50C
2024-04- 25 09:49:51: ; Temperatura do LIDAR: 35.00C
2024-04- 25 09:50:51: ; Temperatura interna central: 34.60C
2024-04- 25 09:50:51: ; Temperatura do LIDAR: 34.50C
2024-04- 25 09:51:51: ; Temperatura interna central: 34.60C
2024-04- 25 09:51:51: ; Temperatura do LIDAR: 34.75C
2024-04- 25 09:52:51: ; Temperatura interna central: 34.70C
2024-04- 25 09:52:51: ; Temperatura do LIDAR: 35.00C
2024-04- 25 09:53:51: ; Temperatura interna central: 34.70C
2024-04- 25 09:53:51: ; Temperatura do LIDAR: 34.75C
2024-04- 25 09:54:51: ; Temperatura interna central: 34.70C
2024-04- 25 09:54:51: ; Temperatura do LIDAR: 34.75C
2024-04- 25 09:55:51: ; Temperatura interna central: 34.70C
2024-04- 25 09:55:51: ; Temperatura do LIDAR: 35.00C
2024-04- 25 09:56:51: ; Temperatura interna central: 34.80C
2024-04- 25 09:56:51: ; Temperatura do LIDAR: 34.75C
2024-04- 25 10:07:51: ; Temperatura interna central: 33.10C
2024-04- 25 10:07:51: ; Temperatura do LIDAR: 33.50C
2024-04- 25 10:08:51: ; Temperatura interna central: 32.90C
2024-04- 25 10:08:51: ; Temperatura do LIDAR: 33.25C
2024-04- 25 10:09:51: ; Temperatura interna central: 32.50C
2024-04- 25 10:09:51: ; Temperatura do LIDAR: 32.25C
2024-04- 25 10:10:51: ; Temperatura interna central: 31.90C
2024-04- 25 10:10:51: ; Temperatura do LIDAR: 32.75C
2024-04- 25 10:11:51: ; Temperatura interna central: 31.40C
2024-04- 25 10:11:51: ; Temperatura do LIDAR: 32.50C
2024-04- 25 10:12:51: ; Temperatura interna central: 31.00C
2024-04- 25 10:12:51: ; Temperatura do LIDAR: 32.75C
2024-04- 25 10:13:51: ; Temperatura interna central: 30.60C
2024-04- 25 10:13:51: ; Temperatura do LIDAR: 33.00C
2024-04- 25 10:14:51: ; Temperatura interna central: 30.40C
2024-04- 25 10:14:51: ; Temperatura do LIDAR: 33.25C
2024-04- 25 10:15:51: ; Temperatura interna central: 30.20C
2024-04- 25 10:15:51: ; Temperatura do LIDAR: 33.50C
2024-04- 25 10:16:51: ; Temperatura interna central: 30.10C
2024-04- 25 10:16:51: ; Temperatura do LIDAR: 33.75C
2024-04- 25 10:17:51: ; Temperatura interna central: 30.00C
2024-04- 25 10:17:51: ; Temperatura do LIDAR: 34.00C
2024-04- 25 10:18:51: ; Temperatura interna central: 30.00C
2024-04- 25 10:18:51: ; Temperatura do LIDAR: 33.75C
2024-04- 25 10:19:51: ; Temperatura interna central: 29.90C
2024-04- 25 10:19:51: ; Temperatura do LIDAR: 34.00C
